Number,Character
538,"SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, "
611,"SUPPLY, SUPPLY, SUPPLY, U_BASE, TEMPLE, U_SPLY, U_SPLY, U_SPLY, SUPPLY, "
549,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_BASE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
633,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
618,"SUPPLY, TEMPLE, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, "
800,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
552,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, U_SPLY, "
643,"TEMPLE, SUPPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, "
612,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, "
921,"SUPPLY, SUPPLY, TEMPLE, U_BASE, U_SPLY, "
1722,"SUPPLY, TEMPLE, "
638,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_BASE, SUPPLY, U_SPLY, "
546,"SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
599,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_BASE, U_SPLY, U_SPLY, U_SPLY, "
1697,"U_BASE, SUPPLY, "
651,"U_BASE, SUPPLY, TEMPLE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
565,"SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
1044,"SUPPLY, SUPPLY, U_BASE, TEMPLE, "
974,"U_BASE, SUPPLY, SUPPLY, "
599,"SUPPLY, SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, SUPPLY, "
616,"SUPPLY, U_BASE, TEMPLE, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
621,"TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, "
921,"SUPPLY, SUPPLY, U_BASE, TEMPLE, U_SPLY, "
638,"SUPPLY, TEMPLE, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, "
567,"SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, "
598,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, "
556,"SUPPLY, U_BASE, SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
593,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, "
544,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, "
703,"TEMPLE, SUPPLY, SUPPLY, U_BASE, U_SPLY, SUPPLY, SUPPLY, "
626,"SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, U_BASE, "
1020,"TEMPLE, SUPPLY, SUPPLY, U_SPLY, "
718,"SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, "
611,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, TEMPLE, "
741,"SUPPLY, SUPPLY, SUPPLY, U_BASE, "
544,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, "
623,"U_BASE, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, "
543,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
570,"SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
662,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, "
1381,"U_BASE, SUPPLY, TEMPLE, U_SPLY, "
700,"SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, SUPPLY, U_BASE, "
539,"SUPPLY, SUPPLY, SUPPLY, U_BASE, TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
588,"SUPPLY, SUPPLY, TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_BASE, U_SPLY, "
783,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, "
700,"SUPPLY, SUPPLY, SUPPLY, "
574,"SUPPLY, SUPPLY, TEMPLE, U_BASE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, "
833,"SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_BASE, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, "
599,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
581,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, "
625,"TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
673,"SUPPLY, SUPPLY, TEMPLE, U_BASE, SUPPLY, U_SPLY, U_SPLY, U_SPLY, "
565,"SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
634,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, "
756,"SUPPLY, SUPPLY, U_BASE, TEMPLE, SUPPLY, U_SPLY, "
629,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
565,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
790,"SUPPLY, TEMPLE, U_SPLY, U_BASE, SUPPLY, SUPPLY, "
544,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, "
564,"SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
597,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
672,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, "
585,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_BASE, U_SPLY, SUPPLY, "
1696,"SUPPLY, U_BASE, "
752,"SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_BASE, "
608,"SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_BASE, SUPPLY, "
562,"SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, U_BASE, U_SPLY, U_SPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, "
654,"U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, SUPPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, "
654,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, "
672,"U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, SUPPLY, "
559,"SUPPLY, U_BASE, SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
843,"U_BASE, SUPPLY, TEMPLE, SUPPLY, SUPPLY, "
559,"SUPPLY, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_BASE, U_SPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, "
669,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_BASE, U_SPLY, "
632,"SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, "
621,"TEMPLE, SUPPLY, U_BASE, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
587,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
,"U_BASE, TEMPLE, SUPPLY, SUPPLY, SUPPLY, "
819,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, U_SPLY, "
844,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, SUPPLY, "
680,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
557,"SUPPLY, SUPPLY, U_BASE, TEMPLE, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
